参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
ABCT2S01 有冇人一齊耕田😂👨🏻‍🌾,Same,Hi,👋,1,14,,,,,
Apss1bn16 Gender,請問分咗未！我都搵緊組,請問分咗未！我都搵緊組,Pm,1,14,,,,,
想知sl眼仔個SO2S01會唔會係暑sem開,我見佢上個暑sem 都有開🤔,邊度有得睇暑sem會開咩Sl ？,唔會,1,3,,,,,
有冇人想去打排球,"Pm, thx",pm,新手想join,5,47,,,,,
放psycho A source,派grade 可恥,mid term final上網google就有 discuss forum同perusal annotations鳩打都滿分Reflective journal 咁撚易只有on9仔先會畀錢買😅,psycho派grade都要source 咪玩啦😅,1,27,,,,,
__,自己讀曬佢啦,Thx,$0 收,1,5,,,放位(Ser Learn)集中區,,
放company law 書,pm,pm,pm,1,12,,,,,
ABCT1D03 Biotech,想問group project 難唔難呀,Ben ko 少少chur,唔會好刁鑽,1,7,,,,,
放company law書,Pm,pm,Pm,1,7,,,,,
__,Push,Pm,有意pm,2,5,,,放位SL-ABCT2S01,,
有冇人放c law書？,push,,,,,,,,1,1
⛄️,Nice,Sem1,,,,1,12,有冇人今個sem讀Apss2s09 group2025??,,
SL-ABCT2S01 耕田仲有位!!!,有冇人一齊耕田？最後今日Add Drop,,,,,,,,1,1
收claw書 15th edition,Push,Push,有意請dm,1,3,,,,,
__,上個sem拎咗A range  pm for source,已經參考咗,冇參考Source？,2,81,,,求intro to sociology source😭,,
物華轉學敏,Hi,Hi,Push,1,4,,,,,
有無人HLS詠春想轉時間？,有無人想1130轉1030？,,,,,,,,1,1
有冇人揀咗car ENGL1A26?,有冇人讀緊？,我都想知,可摸以講下個course?,1,3,,,,,
收男舊hall offer,Push,Pm,Pm,1,10,,,,,
有冇人新年未塭到埸搞party,Pm我 /tg https://t.me/ajdy_123,,,,,,,,1,1
收c law 書,Pm,,,,,,,,1,1
一個sem 9 credit 會唔會好過份？,1 cred或以上 都係全費0 cred 就好似二千幾,係 頭4年就算你take 1 cred 都係full time 因為你已經註冊咗做四年full time student 係冇可能轉做part time 大家唔好再喺度水鳩人🙏至於第五年 依家禁止咗自動defer 理論上唔會有第五年 頭四年搞唔掂就de-register,其實2018入學之後已經禁止咗轉part time 無論你take幾多cred 你註冊果陣係full time就只有full time,2,22,,,,,
放company law書,Pm,Pm,Pm,1,17,,,,,
Yr1同學做問卷攞$100‼️,share俾yr1嘅同學仔啊🫶🏼🫶🏼,https://hkpuhealthandsocial.au1.qualtrics.com/jfe/form/SV_1Upa6wtUOYFarzg,push～ 問卷開埋今個月就close la～,1,14,,,,,
"求A and F A grade sources,可買",我都有 可以pm我,Pm,Af ele clc既科都有,1,4,,,,,
有冇人有c law 書可放？,Pm,pm,,,,1,7,,,
收company law書,Pm,平放14th com law 書 9成新 可pm,,,,1,11,,,
__,樓主,,,,,,,收c law書,1,2
收ELC1012 source,有A source,Hv a=,全部女人都係雞,66,,,,,,
有冇人reg ABCT1D08 food safety,Hi,Push,,,,1,4,,,
__,Push,大家好﹗我們是香港理工大學人工智能設計研究所學生和員工。如果你是 - 18-30歲 - 居住於香港 (非理大學生亦可報名)- 懂得聽講讀寫中文- 有情緒困擾- 無藥物依賴 歡迎參加我們的實驗～ 地點︰全程線上進行 時間︰配合你的時間（報名後再約 ）主題：修正解釋偏見與情緒緩解內容：2次測試(各20分鐘)＋2星期內6次訓練(各20-30分鐘)獎勵：完成實驗後100%送港幣$300百佳現金券------------------------------報名link (報名後有專人聯絡預約日期時間)https://qtrial2014.az1.qualtrics.com/jfe/form/SV_b4q0T3EA1xmbz5Y?Q_CHL=qr&jfefe=new,,,,1,2,線上實驗｜必送$300百佳券｜修正解釋偏見與情緒緩解,,
SN2331 ICT 買source,Push 🙌🏻,Pm,Pm,1,5,,,,,
收 Lsgi1bn02,Pm,Pm,,,,1,3,,,
收Company Law 書,pm,pm,pm,1,9,,,,,
收IA 2 sources,Pm,pm,A+ source 有意pm,1,27,,,,,
收company law 書， 15th ed,想收company law 書， 15th ed,,,,,,,,1,
平放 claw書 考試必用！,Pm,pm,Pm,1,15,,,,,
收 company law 書 15ed,Pm,㩒信封,pm ed？,1,6,,,,,
收company law 15th 書,pm,Pm again,pm,1,7,,,,,
放claw Exam 必用的15th Edition 書,pm,Pm,Pm,1,8,,,,,
收claw 15th書,Pm,放 pm,,,,1,3,,,
係咪白卷攞個F 重讀好過攞C?,Anson ?,總之program document冇寫明就唔洗,唔係架 只係部分科 要考牌先係咁 除非特別指明 否則大部分嘅科目overall合格就可以 不需要考試合格,2,34,,,,,
重啟FH莊招人,希望有興嘅FH同學仔可以喺度留言🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️,,,,,,,,1,1
Exchange reg咗嘅科一問?,"OGE唔係話繼續exchange嘅話13號就會同你drop咗sem2嘅科咩? 但我而家都仲見到有喎,  想問下大家係咪都係咁",,,,,,,,1,1
__,Hellooo!! 我哋而家做緊Final Year Project係關於 Green Retailer Brand Equity。可唔可以借你最多5分鐘嘅時間做個小問卷？Million Thanks!!🙌🏻😘https://forms.office.com/r/yxJmQYEZxc,Finished,Hello各位同學！我地係理工大學Year 4學生，依家做緊有關brand loyalty and purchasing intentions of cosmetic consumers嘅FYP可唔可以麻煩大家幫幫手做2份問卷? 大約5-10 mins就做完㗎啦~🥹🙏🏻 Many thanks💛大家如果有需要嘅話可以將自己嘅問卷link擺係comment度，我都會幫手一齊做的~🙌🏻同埋新年就到，係度祝大家心想事成，身體健康~₊♡⁺⋆ ʕ๑'ꇴ'๑ʔLink (total有2份問卷~)https://docs.google.com/forms/d/e/1FAIpQLSd4GN6JTVhQyXkX0uJKmw1_-6R6lByMeVYT3FAcS0kjNAhF9A/viewform?usp=sf_linkhttps://docs.google.com/forms/d/e/1FAIpQLSdcoChnOapjcx5oeQdkTnFLL9CdXd6l69xngGfsFWzNsg_Q5g/viewform?usp=sf_link,2,3,,,Final Year Project 問卷求幫手🥹🙏🏻,,
收claw書,Pm,push,,,,1,6,,,
ISE2S02 定 BME2S04易讀啲？,今年year3 冇得揀🥲,其實實際得一個sem,Summer intern同ser learn好難一齊 通常二揀一,1,13,,,,,
blawAF3513点攞靚grade‼️,問佢點做到先知 原來佢問其他人拎咗stephen啲note嚟溫😂😂😂,上年同樣lucas教 我C 我frd A,你咩grade,1,23,,,,,
__,學校+科目就可以,唔使填gpa 冇人睇,請指教,1,3,,,Final year 搵工嘅你CV填 cgpa 定wgpa,,
AF3313 大家咩grade?,有冇人知walid點,sem 2 讀就跟返 sem2 個 norm,Af冇人A+,2,29,,,,,
FYP互助區,"Hey guys! We are conducting a survey on travelling behaviour of HK travelers. Could you please fill in this survey? It will only take 3-5 minutes. Appreciate a lot if you could be a part of this. Please share to your friends too. Thanks for your help on our FYP.English version: https://forms.gle/i9XRtnKFQDuPw5DS7中文版：https://forms.gle/tAuuHS1RZEyUeyVy6*只需要填寫其中一個版本，謝謝大家!*Filling in one of the above version will be fine, thank you!","Hello! 我哋而家做緊 Final Year Project, 係關於brand loyalty and purchasing intentions of cosmetic consumers的, 可唔可以麻煩大家幫幫手做2份問卷? 大約5-10 mins就做完㗎啦~🥹🙏🏻 Many thanks💛https://docs.google.com/forms/d/e/1FAIpQLSd4GN6JTVhQyXkX0uJKmw1_-6R6lByMeVYT3FAcS0kjNAhF9A/viewform?usp=sf_linkhttps://docs.google.com/forms/d/e/1FAIpQLSdcoChnOapjcx5oeQdkTnFLL9CdXd6l69xngGfsFWzNsg_Q5g/viewform?usp=sf_link","Hello! 我哋而家做緊 Final Year Project, 係關於Sustainable Packaging, 可唔可以借你大約5-10分鐘嘅時間幫手做份問卷? Many thanks 🥺🙏🏻 https://forms.gle/VmSX8uxq6duWp6L17",2,4,,,,,
LGT2106 shuen or Jinzhi好d,Hi,可以交換source,Pm,1,7,,,,,
CC1C04P 求組隊🙏🏻,有冇人tut001 ???,,,,,,,,2,1
有冇想Tran/已經Tran左科呢,真唔真😂😂唔係普通d in/calculus咁簡單喎,問題係轉唔轉到😭,問題係學唔學到野搵工？,1,14,,,,,
__,知唔知呢個car係咪伏,有冇人讀過CBS1CN06P Translation and Chinese Society 呢個car,,,,1,2,CBS1C06P呢個car伏唔伏,,
放claw a range soruce連書,Pm,Pm,,,,1,4,,,
半價放ma claw fa 書 9成新,Pm,Pm,Pm,1,10,,,,,
有冇人諗住報GEO Summer exchange,pm,你ba 定c,但驚自己一個,1,6,,,,,
Free elective,Thx alot,"Any subjects beyond your programme requirements will be free electives, whether  or not they are offered by your department.",真定假,2,5,,,,,
MM3422 搵grp mate LTL001,差1- 2個人🥺🥺,,,,,,,,2,1
Apss1a08 sociology ￼咩grade,pm,Ok,Pm plz,2,28,,,,,
__,Pm,pm,Pm,1,5,,,Htm3222 求神人幫手補習,,
"新冠 is just a flu, 直接來自中國大陸的除外",Sls我都係,屌我冇味覺同嗅覺呀 邊忽係flu,你點知係flu? 點病法？,2,11,,,,,
有冇人有興開sem飯,pm,想食,如果有c可以pm😂,1,9,,,,,
FHSS research studentship,Push,push 想知要做咩,怕workload大😵,2,10,,,,,
放Bse source 意pm,仲要咁廢，都好意思放出嚟先好笑,BSE都b range不如扻頭埋牆死咗佢算,"Hv a / b range, 樓主is here",1,3,,,,,
Polyu Nursing,冇通常，有得出就會叫你出,想問下通常暑假幾月出Placement？,,,,1,2,,,
Comp4127搵grpmate,如題,,,,,,,,1,1
有冇人一齊上堂CBS1A18,pm,Hi 讀緊,,,,2,2,,,
Clc Liu lu/Tsang ws？,Up,,,,,,,,2,1
舊hall 女 想揾rm😭,男既可以嗎,,,,,,,,1,1
CGPA得2 點搵intern,但我咁廢佢地會要我幫手咩🥲,Student assistant 問有project嘅lecturer 可唔可以幫吓手,即係邊啲,1,6,,,,,
大中 普通話定廣東話好？,放大中普通話 source,冇,Clc3221p 有冇廣東話,1,4,,,,,
__,大學生 😂,埋土最on9之一 ：紅磡hall,,,,47,343,8hall想嘈呢道嘈,,
收LSGI 2961source,信封,,,,,,,,1,7
AF3507,Pm,Pm,全部女人都係雞,1,10,,,,,
平放company law a range source,放以下sources (由B+至A+不等) 有興趣可以PM我AF2108 FAAF2110 MA1AF2602 Global ecoAF3313  B finMM2021 M&OAF3110 IA1AF3111 IA2AF3112 MA2AF3210 Tax AF3507 C law,放以下sources (由B+至A+不等) 有興趣可以PM我AF2108 FAAF2110 MA1AF2602 Global ecoAF3313  B finMM2021 M&OAF3110 IA1AF3111 IA2AF3112 MA2AF3210 Tax AF3507 C law,Pm,1,4,,,,,
Lsgi2223,想要,想要,hi,2,10,,,,,
LGT1041 Lec1想換Lec2,求換🥹,,,,,,,,2,1
CBS2632 INTRO KOREAN II,全部女人都係雞,同問,知唔知網上有冇書？定要買？,1,5,,,,,
收 Korean intro I書,全部女人都係雞,Hello 請問仲有無？🙏,hello想問可唔可以share埋🙏🏻🙏🏻 thanks！,1,14,,,,,
收company law書,全部女人都係雞,,,,,,,,2,1
搵男m玩捆綁 本人巴,全部女人都係雞,pm,邊個樓主,1,6,,,,,
Intro Korean I Declaration,ok 唔該晒🙏,是,想問你係咪讀過？係咪見個水平係初學者咁廢廢地就唔會特登check？🙏,1,6,,,,,
放company law書,ok,Pm,pm,1,5,,,,,
靚CAR English 推薦,1a09 A-,1a08 heavy workload?,Pm,2,25,,,,,
平放company law notes,Pm,pm 有齊source,Pm,1,23,,,,,
新Grade出爐有冇發覺咩CAR係大伏？,你咩grade,A+左，功課要求好低，有science底好易a range。midterm炒左仲俾你retake,reg咗🥲想問呢個TA係咩時候分？睇風評好似TA給分有差別🥺,3,55,,,,,
求MM3851 YAO Dai評價,呢科係social media marketing~,有冇人讀過呢科？求指點🥲見個lecturer好似好mean咁，想知上堂會唔會教書同埋俾分點~,,,,1,2,,,
眼仔求組,Pm,我都lab4,4,1,4,,,,,
咩hon畢業係睇邊個gpa？,Not extra,"Free elective 係 car a，再讀兩 個 car a,係咪計最高兩個 car a?",Electives有無得replace major,3,14,,,,,
一人一個workload最輕嘅car,Pm,Car A life & death,,,,1,4,,,
BME2S04揾隊友,Service learning 嚟喎🫣,唔係sem A reg嘅咩🤕,有冇人？🥹🥹,1,3,,,,,
MM2021 Ren Li,有冇人俾佢教過？佢話no digital device係嚟真？咁咪要print lecture slides?🧐,,,,,,,,1,1
『舊hall 』女仔想搵新rm🥲🥲🥲,Pm,Pm,咩hall😂,1,10,,,,,
Climate change,F,A,大家climate change 咩 grade?,2,3,,,,,
想知IC training course暑sem會開？,收到 thxx,要問IC general office,有,1,4,,,,,
AF1BN01 vs AF1BN02 邊科好？,未滿,仲有位剩,再問,1,4,,,,,
APSS1B14C HK Society,不了 b-,Ok 的,B+,1,6,,,,,
揾group mates SN2s05,有冇人放？,B+ ok?,呢科好唔好讀？,1,4,,,,,
SL ISE2S02,"放A sources, pm if interested",Pm,Pm,1,21,,,,,
天地堂有咩做,摺lib,兩日天地又住得遠🫠,,,,1,2,,,
收elc2014 A range source,Pm,Pm,pm,1,9,,,,,
CLC3221P present使唔使著suit?,Overall A-?,咪9 up 我A-😂,唔著最高只可以b，潛規則黎既,1,9,,,,,
ELC2014 tutor一問,Pm,Pm,Ching pm?,1,5,,,,,
放Comp law書連書內重點memos + 自製notes,Pm,Pm,Pm,1,34,,,,,
Company law 一齊上,星期1下午果個,Which tutorial class?,冇fd一齊讀，想揾人一齊上,1,3,,,,,
放APSS111 A source,有意pm,,,,,,,,1,1
有冇人有眼仔source,Pm,Pm ching,pm,2,9,,,,,
有冇人想打poker,盲注2/5有意pm me,,,,,,,,1,1
Ser Learn Comp2s01一問,有冇人都係呢幾日做完service  想知佢blackboard會唔會出grade 定係唔會有feedback果啲,,,,,,,,1,1
AF4106 AFA,SS+,S+,A+,1,8,,,,,
__,No,咁compulsory可唔可以用elective代替,Yes 讀多咗淨係計最高分果幾科,26,,,,強烈建議￼￼￼改善weighted GPA ￼￼￼制度,,
ITC electives 推薦,想問下ITC 有咩靚electives or 大伏🙇🏼‍♂️🙇🏼‍♂️🙇🏼‍♂️🙇🏼‍♂️,,,,,,,,1,1
GPA今日偷跑？,有 齊grade 了，thanks,其實之前睇過 好似話 assignment/exam交咗一個月內要出分,應該因為prof未交分,1,40,,,,,
收AF3313 source（尤其midterm）,Pm!,有mid term同每課notes,A range here,1,20,,,,,
放LGT2106/ME1D01 A range source,"Sem 1 latest source, 有意請pm",,,,,,,,1,1
SN3208 大家咩grade？,我C+😭,,,,,,,,1,1
有冇人知Mm4731 嘅in class practice,有冇人知道Marketing Strategy嘅 in class practice係點樣，係每堂都有定係分開嘅？想走堂但係唔知走唔走到🥹,,,,,,,,1,1
有無人留返開學至reg 科？,而家有waitlist，邊個咁傻,,,,,,,,1,1
想問summer semester when start?,Estudent咪有日曆,push,,,,1,2,,,
平放CSR source,Csr $80,Csr $80,Csr $80,1,70,,,,,
幾時可以apply exchange,唔過3都有,低過3.3冇得去？,3.3,1,7,,,,,
Af3313容唔容易,難,無左Lawrence?,好顛 tutorial係咪果一個鐘上齊就攞足5%,2,10,,,,,
有冇巴打想quit hall,Pm,實在頂唔順roomate 想揾人調房or調hall 如果有巴打想quit hall 可唔可以做吓好心 quit之前同我調咗先🙇,,,,2,2,,,
MM1051 elvy好唔好？,Edmond的mm1031的discussion只要写了就是满分，感觉有靓grade,Elvy 教tut 正仆街 比分嚴到仆街,Elvy正野嚟,1,4,,,,,
有冇人想一齊打壁球？,有意可以pm,,,,,,,,3,1
retake科撞major subject時間點算？,drop major,yr3😰,可以退學了,1,5,,,,,
同一科唔同subject group嘅位會唔會共享？,正常唔同subject group既要求唔同架wor,應該係唔互通㗎喎🤔,話說我wait緊一科major嘅elective，呢科嘅另一個subject group仲有大量位置，而且我check過兩group係一齊上堂，想知registration完咗之後係咪會share返啲位？,1,3,,,,,
fail左ama1110,我mid term 91/100 final冇乜溫就上場考 少驚,assignment同midterm做得幾好都好，exam好似最少要有四十先至pass,可能冇考到exam，或者交白卷,1,14,,,,,
有無人試過waitlist send email求加開有用？,飛去柬埔寨做義工,最多去Cambodia姐,大把位喎，最多爛grade姐,1,20,,,,,
SN2S04得5得？,表示唔建議SN嘅SL,嗰陣時zoom workload 5大,利申A-,4,7,,,,,
__,Hi,Hi,,,,1,4,有無人一齊讀眼仔,,
有冇人一齊讀ser learn🐢,今個sem整長者用品,好彩遇到有groupmate讀engine 有著數,每個sem要教嘅野唔太一樣 上個sem教小學生整robotic car比賽,4,40,,,,,
__,APSS2S09 邊個教？,,,,,,,Service learning,1,20
物華有冇 PP21？,fun 邊度來嘅fake news？,有咩咁大獲,,,,3,18,,,
康康,？,,,,,,,,1,1
reg到cbs3s01同htm2s04,有冇人比意見要邊個好啲,,,,,,,,1,1
Apss1b15 Global China,有個quiz 有篇文可以走曬啲堂,可摸耳講下e科有咩做,,,,1,2,,,
想問Erew first draft 遲交有冇事?,我之後send咗email 俾Elc  嘅professor 佢哋話唔會影響grade同erew 即係遲交first draft 都可以fulfill erew不過唔建議大家學我遲交🙈 當初真係以為f，嚇死我🙈,Late submission=fail erew=can’t fulfill erew requirement,第一份唔交都冇事,2,10,,,,,
成績今次邊日有偷跑？,4 號？,,,,,,,,1,1
有冇人可以放ama2222🥹,等緊佢嚟畢業🥹,,,,,,,,1,1
想知ama2104係咪open book🙏,想知ama2104係咪open book🙏,,,,,,,,2,1
收紅磡/何文田hall offer (女,Pm,Pm,收何文田hall？,1,6,,,,,
收A source Comp,Pm,有4433 4434 (data mining / big data analytics)Pm if interested,pm,1,10,,,,,
Car A range source,Pm,pm,Pm,1,5,,,,,
讀CU business Master gpa係咪好重要,first hon,gpa要幾多大約😕,,,,1,2,,,
cbs2501冇日文底會唔會好難跟？,唔會，好易讀,,,,,,,,1,
ELC 2011/2012/2013/2014那個給分好,大一sem2啦選哪個GPA會高些唔係ABCT year one student,,,,,,,,1,1
Free Elective,可以,知唔知free elective可唔可以reg 有EREW/CRCW嘅CAR?,,,,1,2,,,
AMA1D01C好唔好,唔好,,,,,,,,1,1
邊個今日23/12喺圖書館偷電線,偷電其實算唔算偷嘢,報警囉😂😂 我就唔信你捉到,樓主捉到人講聲 香港唔係得返國安法咩,2,13,,,,,
有冇 year 4 好驚 F？😭好似會即刻 de reg?,老實講 我都好撚驚,因為20-21 年打後入學嗰啲要申請,我係senior entry,2,9,,,,,
有無人有MM2711同MM2425嘅source 求救😭,"Have both A sources, pm","Have source, pm me",pm,3,66,,,,,
professor改完卷未？(9號考),中英文出曬,就係唔知,我覺得如果係中英文科或者CA 就可以問下，其他未必有得問,1,7,,,,,
__,唔好波+腿，靚女必勝,樣好睇人，腳同胸就好客觀,,,,8,9,靚女但冇波冇腳 vs 普通樣但有波有腳,,
Bfin source,Pm,pm,pm,1,17,,,,,
Last year fail compulsory科,姐係照入 form 原因就係 fail 咗 sem 2 冇開？😵‍💫🙏,要defer 基本會批 唔會踢你出去嘅,想知 too 😭😭,2,5,,,,,
"招18-30 男返poly, 答問題 ($100現金券)",📷,"返poly 睇下片, 答問題$100 ~ 超市現金券招18-30歲報名link~https://hkpuhealthandsocial.au1.qualtrics.com/jfe/form/SV_emO6nnkiFfgaC5U",,,,1,2,,,
收A grade car source,Pm,Pm,Pm,1,9,,,,,
chur hall or 頹 hall？,買定離手,,,,,,,,1,1
點睇bme1d02/bme1d02,Pm,Pm,平放a range source,5,85,,,,,
想問bre elective 有冇推薦？,Year1?,Fan ying 好似幾靚女,,,,1,2,,,
Elc tutor Daniel A Barlow 好？,佢好好人！前年reg過佢，個人好funny，教書都好用心，有咩問題都會答，同埋靚grade！,,,,,,,,2,1
Transcript urgent case最快幾時有,如題🙏🏻,,,,,,,,1,1
"有冇人有商科sources , notes","求advanced financial accounting, strategy management,  corporate finance 嘅sources",,,,,,,,1,1
elc2013、elc2012哪個好讀？,workload細，CA靚first consider，唔該🥹,目標 B+ or above，btw求tutor推薦🥺,,,,1,3,,,
MM3422 cong，qi給分怎樣？,唔該🥹,要CA靚grade就Leung Chi Hong 啦,,,,1,10,,,
今年世界盃淨係得勵志務賢成德睇波,唔睇唔得？,咁又點？係咪好撚威？,其他 hall 冇曬聲氣嘅？,1,3,,,,,
Life n death /Harry Potter 二選一,pm,ok，thanks!!,Life n death 淨係需要做in class exercise and term paper，in class exercise就主要問返當日lecture教過嘅嘢，唔難，有上堂就答到,2,8,,,,,
放hall男,Pm,,,,,,,,1,1
☺️,自己上AF個網度睇,唔係個個dept唔同㗎咩？,3.0 2.4新制 first hon好似3.5就有？,3,8,,,af second up/low hon問題,,
☠,有冇no killer in elc?除了Smith?,elc all killers,正八婆,1,5,,,ELC kayc Chan，killer？有冇靚grade?,,
LGT2106係咪好難？,2106 好簡單,你拎唔到 唔代表lms 其他人冇,Lms邊有出過A+🤣,2,14,,,,,
有冇人有百度網盤？薄酬,🈶️,,,,,,,,1,1
Mm4311呢科有冇exam,Oh,有exam 好難,Complusary冇pre reg但係有exam既話唔想reg,1,5,,,,,
Claw tutor 揀Winnie 好定Sandy 好🥹,Ofcoz Sandy,winnie 爛grade + 米奇老鼠tonesandy就正常grade + 賓妹口音,想唔爛grade嘅就Sandy,1,3,,,,,
AF1605點溫？,Yes,final 過唔到40係咪fail 硬？,Tutorial 識做都袋左一半,1,5,,,,,
Subject group,要睇你program 可唔可以 take 第二個 group,想問下可唔可以調去第二個subject group嘅班? 定係淨係可以調同一個subject group嘅班,,,,1,2,,,
放IA 2 past paper,Pm,Pm,Pm,1,17,,,,,
放hall offer 女,舊hall 歡迎pm,,,,,,,,1,1
有冇人試過請槍考試,一定冇人識你啦,天網灰灰,你唔同其他人講 私底下請槍邊個知,2,8,,,,,
讀緊AF3625 economic 既入黎,3625唔係AF 人讀,Kai_chungg,1-10 concept 都識,1,8,,,,,
Blaw exam 做唔做得切?,溫咗1日 做得哂,每題答咗啲,冇可能做得切啦 都on9,1,8,,,,,
女同學主動follow後生已婚富二代professor,有無條女張相爆黎睇睇,我講緊係復旦 graduate PhD讀Princeton 嘅已婚大陸富二代 professor,康康邊係富二代呢個富二代係美國讀phd嘅大陸人,1,15,,,,,
成日見人話去廁所出cheat到底係咪可行，咁仲點樣捉人cheat,唔係個個都唔check,通常咪開考前要放電話喺凳底，有啲人袋多部電話去咗廁所上網check,而家啲invigilator 都唔check,3,20,,,,,
bloom of youth,做draftman少伏,俾勁多錢去做勞工,呢個international wie會唔會伏？感覺去Auckland做building會少伏⋯,1,3,,,,,
收AIS part a b paper with ans,Pm,pm,pm,1,6,,,,,
$100 coupon!!!!,Push!,Pushhhhhhh,Hello 而家有個online focus gp interview係問covid-19 對你日常生活/學習有咩咩影響！對象係year2-year4 polyu students個interview會last for 1.5-2 hrs ($100 coupon per hr) 係sem break/sem2開始嗰陣唔使show face/開cam！Online interview 嚟！有興趣嘅就填表啦！之後就會有人email contact你🫡記得最後打返referee code : R28 https://forms.office.com/r/XLh3GBsBum,2,3,,,,,
WIE nomination,面試會問咩？😣,11月中,你幾時面試？,1,12,,,,,
__,有嘅話我開tg group大家出嚟玩下😂未玩過都唔緊要 因為我都未玩過,,,,,,,有冇poly人聽開rap想試下出嚟cypher,1,1
Japan WIE anyone?,幾時收到 上個禮拜？,我都收到芝浦嗰個,你幾時interview？,1,6,,,,,
tax framework exam放Asource $50,推,Pm,Pm,1,9,,,,,
poly琴房,yes,係咪要book左先可以用學生證入去呀？👀,咁誇張,1,8,,,,,
PT Year 1-4 Ebook,有意pm,,,,,,,,1,1
__,你快測check 下有無先啦，再唔係去撩喉嚨,有 但要去到1月尾2月頭先有得補考,send email比學校，通常會有補考，但係有fd補考排到1-2月,2,5,,,(急)聽日exam 依家疑似中咗肺炎 有冇得補考,,
有冇人知retake要比幾錢😭,比咗學費架大佬 仲要額外畀咩,唔使錢咁好😨😨thank you!,如果你正常讀就唔使額外俾錢,1,7,,,,,
放af3210 af3110 A range source,pm,pm,pm,1,23,,,,,
AFA點撚溫,收到風今次考risk disclosure,想問有冇人記得佢講exam啲文字題係考邊到?,咁易,1,3,,,,,
同NDS住真係好辛苦,$50啫,想講啲人住到可以成個垃圾筒成座山咁 好大開眼界仲有 隔離房每次去完廁所都一定沖埋涼 仲要每次半個鐘起跳 仲要鎖尻埋我房門 我屌佢老尾想問就咁轉房係咪要比錢Target要嗎,女仔？,1,36,,,,,
Bre336點溫,1,有冇人可以救我,,,,1,2,,,
考試好撚大壓力,大家都加油🥹,努力多一個星期就可以唞！加油！！,佢應該係會講「連死都有勇氣點解冇勇氣生存」嘅人嚟 九唔搭八,2,13,,,,,
幫做programming功課 有意pm,2021 Grad做緊vendor賺下外快,,,,,,,,1,1
AF3627考試難唔難？,但又唔一定易高分,Mike出卷不嬲hea㗎啦 同past paper一模一樣咁制,ok la 還好,1,14,,,,,
有冇人apply左International WIE?,book time slot for interview~,any update?,,,,1,2,,,
af3210 hong kong tax exam,pm me,包邊四種tax??,Pm,2,13,,,,,
搵人ibank一起準備interview,push,pm me plz～,,,,1,2,,,
想問有無人知AF啲科幾分先有b range (利申fm),印象中 好似喺AFA係有,除非professor上堂show俾你睇個cut off,其實係唔會知,1,4,,,,,
生咗個仔改咩中文名好,X兒子X兒子個仔=X孫仔,趦趄,劉心悠,1,46,,,,,
收ama3640 exam pp ans,有pp ans pm me!!,1Q 1Q?,做開？,1,5,,,,,
☠,只想買件soc tee,pm,pm,4,12,,,想問吓ME有冇莊可以上？,,
放claw A range notes,pm,Notes 點樣有A range,pm,1,5,,,,,
收 AF4317/4331/3317/3210 source,Pm,pm,Hi pm,1,4,,,,,
Freshmen 最難邊科？,1120咁易緊係A啦,Comp一定最難,1120派a,1,14,,,,,
求APSS3230 sources 🙏🏻🙏🏻🙏🏻,求 A source 🙏🏻🙏🏻🙏🏻,,,,,,,,1,1
收AF3210 tax framework source,pm,I have,收a range source,1,3,,,,,
Switch點先可以連到學校Wi-Fi,算把啦 poly wifi咁垃圾,我都想知Switch嗰邊連Wi-Fi係會有wlan嘅option但係灰咗冇得用,,,,1,2,,,
__,識嘅自然會識,唔需要專心溫書,咁點上goop,7,15,,,到底點先可以專心溫書,,
收af3210 source,pm,pm,pm,1,6,,,,,
有冇民殷想轉務賢(男),Hi,點pm你,有意,1,5,,,,,
想要COMP2011 source,pm,可以pm我🎈,可以pm我🎈,1,9,,,,,
求 Cse30303 pp ans,唔一定要model ans,construction management,,,,1,2,,,
放男舊hall,Pm,Pm,Pm,1,5,,,,,
收上個sem AIS exam(要有part A&B),pm,Pm,Pm thx🙏,1,18,,,,,
AF 邊個教得最好？,In Bruce we trust,,,,,,,,1,1
出錢陪讀書,你c?,我巴,可以摸既話 有興🙋🏻‍♂️你絲？,1,18,,,,,
有冇人知補考會係幾時？,咁快🤔,一個星期後,小弟我申請左補考。有冇人試過申請補考之後大概補考日期係幾時？,1,4,,,,,
Lgt4005考試討論區,唔知,究竟係咪40%pass,,,,1,2,,,
Year 4仲有無機會去exchange,Senior entry有冇得唔defer去exchange🥲,係咪GEO到時會出email通知？,B,1,27,,,,,
Waitlist 300幾 sem2有冇機會住到hall￼?,有意,Pm 有意,可以放比你,1,5,,,,,
ser learn comp2s01,"Subject lecturer 係咪Peter Ng,佢幾好人下Grade 應該還好 ，你如果唔係Comp or EIE 同學的話可以被人carry😏",幾乎一定爛grade,,,,1,21,,,
__,學敏想調物華,民殷想調學敏！,,,,25,45,大家轉到自己想住嘅hall未,,
點解咁多人收hall offer,有冇諗過全部一個人開，邊有咁多人收女hall,唔驚被人捉到咩？咁猖狂,,,,1,2,,,
搵新hall study buddy！,pm唔到🤦‍♂️,Pm again,Pm,1,11,,,,,
高價收bfin和lgt2425 final source,高價求,最好有答案,,,,1,2,,,
